jobUrl,jobId,companyName,jobTitle,logoUrl,scrapedLocation,location,workplaceType,insights,postDate,isEasyApply,isPromoted,applicantCount,url,query,category,timestamp,isRemote,Year
https://www.linkedin.com/jobs/view/3633746019/,""""""
https://www.linkedin.com/jobs/view/3617676485/,""""""
https://www.linkedin.com/jobs/view/3641201183/,""""""
https://www.linkedin.com/jobs/view/3640012497/,""""""
https://www.linkedin.com/jobs/view/3640213538/,"""the Year 2023; // 5 years of"""
https://www.linkedin.com/jobs/view/3636577632/,"""1 year ago"""
https://www.linkedin.com/jobs/view/3176009526/,"""DEAD LINK"""
https://www.linkedin.com/jobs/view/3637776137/,""""""
https://www.linkedin.com/jobs/view/3641078806/,"""DEAD LINK"""
https://www.linkedin.com/jobs/view/3603875220/,"""DEAD LINK"""
